"","day1","day2","day3","day4","day5","day6","day7","day8","day9","day10","day11","day12","day13","day14"
"M877",0.408514220312569,0.496955926156226,0.585588534628975,0.669005937275998,0.743001338327154,0.8052696548371,0.855387386224624,0.894299431557924,0.923675360597109,0.945385807742794,0.961180286518097,0.972539665197153,0.980642019966986,0.986387183391232
"F596",0.409243612748452,0.497710354072135,0.586320687918467,0.669673848251925,0.743577165219491,0.805742441167102,0.855760287047394,0.894584358594191,0.923887841082635,0.945541411868081,0.96129273226199,0.972620144485157,0.980699224560881,0.986427645477002
"F621",0.410114560055093,0.49861066818641,0.587193907789796,0.670470008666072,0.744263224310556,0.806305502646356,0.85620424362204,0.894923490952651,0.924140695416989,0.945726556117995,0.961426510932746,0.972715884926833,0.980767273128799,0.986475775923094
"M794",0.417867629109439,0.506599945092415,0.594918414526931,0.677492099263108,0.750298463528526,0.811247905228904,0.860094331402717,0.897891030500462,0.926350997724888,0.947343750489708,0.962594394367165,0.973551364793778,0.981360931881416,0.986895584019281
"F694",0.424542590492235,0.513442156030025,0.601499285238218,0.683445290800348,0.755392943747834,0.815404816883852,0.863356687097232,0.900374121520058,0.928197343048159,0.948692966062996,0.963567869231959,0.974247315093452,0.981855216833903,0.98724500450051
"F592",0.425138340832364,0.514051218319182,0.602083545975991,0.683972530711487,0.755843160351988,0.815771515896513,0.863644058807049,0.900592606396523,0.928359665135021,0.94881150954845,0.963653361384515,0.974308414896021,0.981898601800116,0.987275669261447
"F519",0.42689780647299,0.515848458658349,0.603806140037626,0.685525783529232,0.757168584883511,0.816850444859199,0.86448919589042,0.901234924589459,0.928836744373862,0.949159851038184,0.963904545287312,0.974487913419206,0.982026048517191,0.987365744729577
"F766",0.429998029461404,0.519009652666239,0.606830752368505,0.688248640331936,0.759488759213045,0.818736891929324,0.865965476436641,0.902356105661054,0.929669041842166,0.949767312077803,0.964342448566572,0.974800777887386,0.98224815395041,0.987522705504254
"F806",0.43460989670196,0.523699071170966,0.611305189936055,0.69226638588283,0.762904669690093,0.821509079541526,0.868131699212452,0.903999395085332,0.930887876336121,0.95065633056146,0.964983026567896,0.975258295287725,0.982572874012646,0.987752145557978
"M513",0.449315286672129,0.538547573490354,0.625376265188269,0.704821810984635,0.773520946364176,0.830085700380203,0.874809462672552,0.909051116859751,0.934626998976226,0.953379498344589,0.966943029146798,0.976657073530482,0.983565089555176,0.988452944060174
"F524",0.452833036780931,0.54207624450603,0.628698740328166,0.707768943245752,0.776000158632203,0.83208013104114,0.876357125980698,0.910218913136335,0.93548970194768,0.954006909625686,0.967394147370063,0.976978783333712,0.983793173653137,0.988613979653505
"M584",0.498221483684756,0.586816503862654,0.670125968307154,0.74396680619525,0.806062257677095,0.856012472080494,0.894777010912408,0.924031487625329,0.945646595849974,0.961368736336943,0.972674538744301,0.980737886361493,0.986454991037917,0.990491677855503
