"Date","Roost","Group","Age","Sex","Band","ID","switch_w","potential","n.days","switch_w","potential","n.days"
3815.16666666667,"R3A",4,"A","F",577,"F577",0,1,1,0,1,0
3815.16666666667,"R3A",4,"A","F",578,"F578",0,1,1,0,1,0
3815.16666666667,"R3A",4,"A","F",583,"F583",0,1,1,0,1,0
3815.16666666667,"R3A",4,"A","F",589,"F589",0,1,1,0,1,0
3815.16666666667,"R3A",4,"A","M",533,"M533",0,1,1,0,1,0
3815.16666666667,"R3A",4,"A","M",539,"M539",0,1,1,0,1,0
3815.16666666667,"R3A",4,"A","M",573,"M573",0,1,1,0,1,0
3815.16666666667,"R3A",4,"A","M",593,"M593",0,1,1,0,1,0
3815.16666666667,"R48",9,"A","M",631,"M631",3,3,5,0,1,0
3815.16666666667,"RCA",11,"A","F",524,"F524",3,3,3,0,1,0
3815.16666666667,"RCA",11,"A","M",523,"M523",3,3,3,0,1,0
3816.16666666667,"R3A",4,"A","F",570,"F570",0,1,2,0,1,0
3816.16666666667,"R3A",4,"A","F",571,"F571",0,1,2,0,1,0
3816.16666666667,"R3A",4,"A","F",572,"F572",0,1,2,0,1,0
3816.16666666667,"R3A",4,"A","F",577,"F577",0,1,2,0,1,0
3816.16666666667,"R3A",4,"A","F",578,"F578",0,1,2,0,1,0
3816.16666666667,"R3A",4,"A","F",583,"F583",0,1,2,0,1,0
3816.16666666667,"R3A",4,"A","F",589,"F589",0,1,2,0,1,0
3816.16666666667,"R3A",4,"A","M",533,"M533",0,1,2,0,1,0
3816.16666666667,"R3A",4,"A","M",539,"M539",0,1,2,0,1,0
3816.16666666667,"R3A",4,"A","M",573,"M573",0,1,2,0,1,0
3816.16666666667,"R3A",4,"A","M",593,"M593",0,1,2,0,1,0
3816.16666666667,"RCA",11,"A","M",530,"M530",3,3,4,0,1,0
3817.16666666667,"R3A",4,"A","F",570,"F570",0,1,3,0,1,0
3817.16666666667,"R3A",4,"A","F",571,"F571",0,1,3,0,1,0
3817.16666666667,"R3A",4,"A","F",572,"F572",0,1,3,0,1,0
3817.16666666667,"R3A",4,"A","F",577,"F577",0,1,3,0,1,0
